source_id, domain_or_handle, source_type, region_focus, city_tags, has_rss, rss, has_sitemap, sitemap, fetch_method, has_search_box, freshness_hint, trust_score, robots_ok, tos_notes, url_pattern, evidence_to_capture, notes, priority_tier, status
DIR-001,ofadaa.com,directory,NG-wide,southwest cities,false,null,true,https://ofadaa.s3.amazonaws.com/sitemaps/sitemap.xml.gz,"sitemap, html",true,null,null,true,,,,,T1,active
BLG-001,eatdrinklagos.com,blog,Lagos,lagos cities,false,null,true,https://www.eatdrinklagos.com/sitemap.xml,"sitemap, html",true,null,null,false,,,,,T1,active
BLG-002,blog.fusion.ng,blog,NG-wide,all cities,true,"https://blog.fusion.ng/feed/, https://blog.fusion.ng/comments/feed/",true,"http://blog.fusion.ng/post-sitemap.xml, http://blog.fusion.ng/page-sitemap.xml, http://blog.fusion.ng/e-landing-page-sitemap.xml, http://blog.fusion.ng/category-sitemap.xml, http://blog.fusion.ng/post_tag-sitemap.xml, http://blog.fusion.ng/post_tag-sitemap2.xml, http://blog.fusion.ng/author-sitemap.xml","rss,sitemap, html",false,null,null,true,,,,,T1,active
BLG-003,foodieinlagos.com,blog,Lagos,lagos cities,false,null,true,"https://foodieinlagos.com/post-sitemap.xml, https://foodieinlagos.com/post_tag-sitemap.xml, https://foodieinlagos.com/post_tag-sitemap2.xml, https://foodieinlagos.com/post_tag-sitemap3.xml, https://foodieinlagos.com/post_tag-sitemap4.xml","sitemap, html",false,null,null,true,,,,,T1,active
DIR-002,meiza.ng,directory,NG-wide,all cities,true,"https://meiza.ng/feed/, https://meiza.ng/search/amala/feed/rss2/",true,"https://meiza.ng/sitemap.xml, https://meiza.ng/sitemap.rss","sitemap, html",true,null,null,true,,,,,T1,active
